Main Series, Sub Series, Segmented Mnemonic, Title, Reporting Forms, Source, MainSeriesLink, SubSeriesLink, SegmentLink
"None","None","AABF","Summary Non-Defaulted and Defaulted Exposures; Weighted Average Loss Given Default after consideration of credit risk mitigants (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AABG","Summary Non-Defaulted and Defaulted Exposures; Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AABH","Summary Non-Defaulted and Defaulted Exposures; Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AACX","None","Wholesale Exposure - Corporate","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AACA","Wholesale Exposure - Corporate;  Weighted Average Obligor Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACB","Wholesale Exposure - Corporate;  Number of Obligors","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACC","Wholesale Exposure - Corporate;  Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACD","Wholesale Exposure - Corporate;  Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACE","Wholesale Exposure - Corporate;  Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACF","Wholesale Exposure - Corporate;  Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACG","Wholesale Exposure - Corporate;  Weighted Average Loss Given Default before consideration of eligible guarantees and credit derivatives (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACH","Wholesale Exposure - Corporate;  Weighted Average Loss Given Default after consideration of credit risk mitigants (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACI","Wholesale Exposure - Corporate;  Effect of Probability of Default substitution and Loss Given Default adjustment approaches on Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACJ","Wholesale Exposure - Corporate;  Effect of Double Default Treatment on Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACK","Wholesale Exposure - Corporate;  Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AACL","Wholesale Exposure - Corporate;  Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AADX","None","Wholesale Exposure - Bank","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AADA","Wholesale Exposure - Bank;  Weighted Average Obligor Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AADB","Wholesale Exposure - Bank;  Number of Obligors","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AADC","Wholesale Exposure - Bank;  Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AADD","Wholesale Exposure - Bank;  Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AADE","Wholesale Exposure - Bank;  Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AADF","Wholesale Exposure - Bank;  Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AADG","Wholesale Exposure - Bank;  Weighted Average Loss Given Default before consideration of eligible guarantees and credit derivatives (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AADH","Wholesale Exposure - Bank;  Weighted Average Loss Given Default after consideration of credit risk mitigants (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AADI","Wholesale Exposure - Bank;  Effect of Probability of Default substitution and Loss Given Default adjustment approaches on Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AADJ","Wholesale Exposure - Bank;  Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AADK","Wholesale Exposure - Bank;  Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAEX","None","Wholesale Exposure - Sovereign","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAEA","Wholesale Exposure - Soverign;  Weighted Average Obligor Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAEB","Wholesale Exposure - Soverign;  Number of Obligors","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAEC","Wholesale Exposure - Soverign;  Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAED","Wholesale Exposure - Soverign;  Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAEE","Wholesale Exposure - Soverign;  Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAEF","Wholesale Exposure - Soverign;  Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAEG","Wholesale Exposure - Soverign;  Weighted Average Loss Given Default before consideration of eligible guarantees and credit derivatives (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAEH","Wholesale Exposure - Soverign;  Weighted Average Loss Given Default after consideration of credit risk mitigants (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAEI","Wholesale Exposure - Soverign;  Effect of Probability of Default substitution and Loss Given Default adjustment approaches on Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAEJ","Wholesale Exposure - Soverign;  Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAEK","Wholesale Exposure - Soverign;  Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAFX","None","Wholesale Exposure - Income Producing Real Estate (IPRE)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAFA","Wholesale Exposure - Income Producing Real Estate (IPRE);  Weighted Average Obligor Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFB","Wholesale Exposure - Income Producing Real Estate (IPRE);  Number of Obligors","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFC","Wholesale Exposure - Income Producing Real Estate (IPRE);  Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFD","Wholesale Exposure - Income Producing Real Estate (IPRE);  Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFE","Wholesale Exposure - Income Producing Real Estate (IPRE);  Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFF","Wholesale Exposure - Income Producing Real Estate (IPRE);  Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFG","Wholesale Exposure - Income Producing Real Estate (IPRE);  Weighted Average Loss Given Default before consideration of eligible guarantees and credit derivatives (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFH","Wholesale Exposure - Income Producing Real Estate (IPRE);  Weighted Average Loss Given Default after consideration of credit risk mitigants (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFI","Wholesale Exposure - Income Producing Real Estate (IPRE);  Effect of Probability of Default substitution and Loss Given Default adjustment approaches on Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFJ","Wholesale Exposure - Income Producing Real Estate (IPRE);  Effect of Double Default Treatment on Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFK","Wholesale Exposure - Income Producing Real Estate (IPRE);  Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAFL","Wholesale Exposure - Income Producing Real Estate (IPRE);  Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAGX","None","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAGA","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Weighted Average Obligor Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGB","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Number of Obligors","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGC","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGD","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGE","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGF","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGG","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Weighted Average Loss Given Default before consideration of eligible guarantees and credit derivatives (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGH","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Weighted Average Loss Given Default after consideration of credit risk mitigants (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGI","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Effect of Probability of Default substitution and Loss Given Default adjustment approaches on Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGJ","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Effect of Double Default Treatment on Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGK","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAGL","Wholesale Exposure - High Volatility Commercial Real Estate (HVCRE);  Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAHX","None","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAHA","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHB","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHC","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHD","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Weighted Average Loss Given Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHE","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHF","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Expected Credit Losses","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHG","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHH","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD  Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHI","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD  Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHJ","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD  Weighted Average Loss Given Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHK","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHL","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD  Expected Credit Losses","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHM","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Holding Period or Margin Period of risk set for 20 days - Exposure Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHN","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Holding Period or Margin Period of risk set for 20 days - Risk-Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHO","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Holding Period or Margin Period of risk set for at least twice the minimum holding period that would otherwise be used - Exposure Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHP","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Holding Period or Margin Period of risk set for at least twice the minimum holding period that would otherwise be used; Risk-Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHQ","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Exposures with specific wrong-way risk for which the bank would otherwise apply the IMM; Exposure Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAHR","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions and OTC Derivatives WITH CROSS-PRODUCT NETTING; Exposures with specific wrong-way risk for which the bank would otherwise apply the IMM; Risk-Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAIX","None","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAIA","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIB","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIC","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAID","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Weighted Average Loss Given Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIE","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIF","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Expected Credit Losses","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIG","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIH","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD  Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAII","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD  Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIJ","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD  Weighted Average Loss Given Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
